,Real,DE,Entropy,CRITIC,Gini
Gini,0.9187617260787992,0.9187617260787992,0.9403377110694184,0.9660412757973733,1.0
CRITIC,0.9135084427767355,0.9135084427767355,0.9103189493433396,1.0,0.9660412757973733
Entropy,0.9739212007504691,0.9739212007504691,1.0,0.9103189493433396,0.9403377110694184
DE,1.0,1.0,0.9739212007504691,0.9135084427767355,0.9187617260787992
Real,1.0,1.0,0.9739212007504691,0.9135084427767355,0.9187617260787992
