Cj,Real weights,DE weights
$C_{1}$,0.0098,0.0098
$C_{2}$,0.1352,0.1354
$C_{3}$,0.0242,0.0247
$C_{4}$,0.0927,0.0929
$C_{5}$,0.0976,0.0967
$C_{6}$,0.0963,0.0962
$C_{7}$,0.026,0.0261
$C_{8}$,0.0262,0.0262
$C_{9}$,0.0054,0.0059
$C_{10}$,0.0192,0.0192
$C_{11}$,0.035,0.0357
$C_{12}$,0.0326,0.0332
$C_{13}$,0.0098,0.0095
$C_{14}$,0.0205,0.0198
$C_{15}$,0.0088,0.0085
$C_{16}$,0.0483,0.0487
$C_{17}$,0.0219,0.0215
$C_{18}$,0.0316,0.0314
$C_{19}$,0.0927,0.0926
$C_{20}$,0.1156,0.1155
$C_{21}$,0.0508,0.0505
