Ai,Real rank,DE rank
$A_{1}$,40,40
$A_{2}$,20,19
$A_{3}$,28,28
$A_{4}$,38,38
$A_{5}$,21,21
$A_{6}$,15,15
$A_{7}$,22,22
$A_{8}$,27,27
$A_{9}$,6,6
$A_{10}$,11,11
$A_{11}$,17,17
$A_{12}$,37,37
$A_{13}$,39,39
$A_{14}$,35,35
$A_{15}$,23,23
$A_{16}$,10,10
$A_{17}$,34,34
$A_{18}$,18,18
$A_{19}$,12,12
$A_{20}$,30,30
$A_{21}$,14,14
$A_{22}$,5,5
$A_{23}$,24,24
$A_{24}$,16,16
$A_{25}$,13,13
$A_{26}$,8,8
$A_{27}$,33,33
$A_{28}$,19,20
$A_{29}$,1,1
$A_{30}$,2,2
$A_{31}$,3,3
$A_{32}$,25,25
$A_{33}$,9,9
$A_{34}$,32,32
$A_{35}$,7,7
$A_{36}$,26,26
$A_{37}$,29,29
$A_{38}$,36,36
$A_{39}$,4,4
$A_{40}$,31,31
